# Lines staring with "#" are commennts
# Format rule: Each line (except comments) must contain at least one semikolon
#
welcome;Välkommen
to;till
Friday;Fredag
Saturday;Lördag
Sunday;Söndag
Monday;Måndag
weekend_member_fees;Medlem: {0} kr/pass, samtliga pass {1} kr
weekend_non_member_fees;Ej medlem: {0} kr/pass, samtliga pass {1} kr
one_pass_sunday;(söndag räknas som 2 pass)
#
# See the english texts version for specification of festival_fees_text formats
#
festival_fees_text;;1;{0}, {1}, {2}, {3}, {4} resp. {5} SEK
festival_fees_text;;0;för 1 till 6 sessioner*.
festival_fees_text;;0;Priset gäller då samma person går på flera sessioner.
festival_fees_text;;0;*) Session 7 och 8 betalas på plats (kontant eller Swish).
festival_fees_text;;0;---Kontanter ”i dörren” går bra, men betala gärna i förhand på
festival_fees_text;;0;PlusGiro 85 56 69-8 (MOTIV8'S)
festival_fees_text;;0;eller Swisha till 070-422 82 27 (Arne G).
festival_fees_text;;0;Ange vilka sessioner som avses (nummer och nivå).
festival_fees_text;;2;---Medlemmar får rabatt vid förhandsbetalning senast {0}.
festival_fees_text;;3;Priset blir då: {0}, {1}, {2}, {3}, {4} resp. {5} SEK
festival_fees_text;b;2;---Dörrpris gäller efter {0} oavsett medlemskap.
festival_fees_text;b;4;Vid återbud före {0} återbetalas hela avgiften. 
festival_fees_text;b;0;Ungdomar betalar halva priset.
festival_lunch;Vi ordnar hämtning av Pizza och sallad till pausen på söndagen och på måndagen!
weekend_lunch;Vi ordnar hämtning av Pizza och sallad till pausen!
weekend_pg_pay;Betala gärna i förväg på PlusGiro 85 56 69-8 (MOTIV8'S)
weekend_swish_pay;Swisha till 070-422 82 27 (Arne G) eller kontanter ”i dörren” går också bra
rotation;Vi använder rotationsprogram på samtliga nivåer!
coffee;Kaffeservering finns!
no_coffee;Ta med eget fika!
footer;Ändringar utanför vår kontroll kan ske. Håll därför utkik på hemsidan www.motiv8s.se! Flyer skapad:{0}
usa;USA
sweden;Sverige
canada;Kanada
germany;Tyskland
more_info_1;Mer info:
more_info_2;Arne +46 70-422 82 27
more_info_3;e-post: info@motiv8s.se
more_info_4;eller se vår hemsida: www.motiv8s.se
reduced_C3b;**) Kursnivå enligt Jespers kurs i Örebro
